sensor_id,timestamp,value
sensor-C,2025-10-02T08:00:00Z,76.35
sensor-D,2025-10-02T08:03:00Z,55.57
sensor-A,2025-10-02T08:06:00Z,67.49
sensor-A,2025-10-02T08:09:00Z,35.6
sensor-A,2025-10-02T08:12:00Z,73.68
sensor-B,2025-10-02T08:15:00Z,12.62
sensor-D,2025-10-02T08:18:00Z,39.27
sensor-B,2025-10-02T08:21:00Z,16.35
sensor-D,2025-10-02T08:24:00Z,14.14
sensor-A,2025-10-02T08:27:00Z,76.32
sensor-A,2025-10-02T08:30:00Z,50.4
sensor-D,2025-10-02T08:33:00Z,13.47
sensor-B,2025-10-02T08:36:00Z,13.26
sensor-B,2025-10-02T08:39:00Z,30.27
sensor-B,2025-10-02T08:42:00Z,47.85
